23:26:44.984, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.04, Angle: 262.58, Altitude: 1481.40, Satellites: 9
23:26:48.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.03, Angle: 164.45, Altitude: 1481.40, Satellites: 9
23:26:50.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 101.83, Altitude: 1481.40, Satellites: 9
23:26:52.984, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.04, Angle: 282.05, Altitude: 1481.40, Satellites: 9
23:26:55.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 321.83, Altitude: 1481.40, Satellites: 9
23:26:56.984, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 288.66, Altitude: 1481.40, Satellites: 9
23:27:0.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 347.31, Altitude: 1481.40, Satellites: 9
23:27:2.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.05, Angle: 92.58, Altitude: 1481.40, Satellites: 9
23:27:4.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 169.97, Altitude: 1481.40, Satellites: 9
23:27:7.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.03, Angle: 40.15, Altitude: 1481.40, Satellites: 9
23:27:8.984, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.00, Angle: 276.69, Altitude: 1481.40, Satellites: 9
23:27:12.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 102.12, Altitude: 1481.50, Satellites: 9
23:27:14.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 67.19, Altitude: 1481.50, Satellites: 9
23:27:16.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.09, Angle: 293.49, Altitude: 1481.50, Satellites: 9
23:27:18.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.03, Angle: 232.89, Altitude: 1481.50, Satellites: 9
23:27:20.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 237.97, Altitude: 1481.50, Satellites: 9
23:27:23.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 105.78, Altitude: 1481.50, Satellites: 9
23:27:24.984, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 298.27, Altitude: 1481.50, Satellites: 9
23:27:28.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 150.67, Altitude: 1481.50, Satellites: 9
23:27:30.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 84.23, Altitude: 1481.50, Satellites: 9
23:27:32.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 20.38, Altitude: 1481.60, Satellites: 9
23:27:34.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 1.65, Altitude: 1481.90, Satellites: 9
23:27:36.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 298.52, Altitude: 1482.10, Satellites: 9
23:27:39.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.03, Angle: 329.91, Altitude: 1482.10, Satellites: 9
23:27:40.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.06, Angle: 260.28, Altitude: 1482.10, Satellites: 9
23:27:43.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 308.97, Altitude: 1482.20, Satellites: 9
23:27:44.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.03, Angle: 253.27, Altitude: 1482.20, Satellites: 9
23:27:47.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.00, Angle: 186.16, Altitude: 1482.30, Satellites: 9
23:27:50.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 285.61, Altitude: 1482.50, Satellites: 9
23:27:52.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.03, Angle: 81.94, Altitude: 1482.30, Satellites: 9
23:27:54.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.00, Angle: 147.87, Altitude: 1482.40, Satellites: 9
23:27:56.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 76.23, Altitude: 1482.50, Satellites: 9
23:27:59.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 324.02, Altitude: 1482.70, Satellites: 9
23:28:0.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 236.58, Altitude: 1482.80, Satellites: 9
23:28:3.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 268.28, Altitude: 1482.80, Satellites: 9
23:28:4.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 191.53, Altitude: 1482.80, Satellites: 9
23:28:8.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 294.67, Altitude: 1482.80, Satellites: 9
23:28:10.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.03, Angle: 145.74, Altitude: 1482.80, Satellites: 9
23:28:12.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 221.93, Altitude: 1482.90, Satellites: 9
23:28:15.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.03, Angle: 164.38, Altitude: 1482.90, Satellites: 9
23:28:16.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.04, Angle: 168.36, Altitude: 1482.90, Satellites: 9
23:28:19.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.04, Angle: 186.50, Altitude: 1482.90, Satellites: 9
