Real time,Event,Pulses,Count rate,Duration of d.a.,Duration of meas.,Dose rate,DR Error,Dose,Dose rate alarm,Dose alarm,Temp alarm,Temp.
2024.03.25  15.38.49,Current data values,525,328 cpm,,0:01:36,10.4 µR/h,27.70%,,None,None,None,
2024.03.25  15.37.13,Current data values,546,341 cpm,,0:01:36,9.44 µR/h,27.80%,,None,None,None,
2024.03.25  15.35.37,Current data values,551,344 cpm,,0:01:36,9.62 µR/h,29.20%,,None,None,None,
2024.03.25  15.34.01,Current data values,490,306 cpm,,0:01:36,6.72 µR/h,29.30%,,None,None,None,
2024.03.25  15.32.25,Current data values,535,334 cpm,,0:01:36,10.8 µR/h,28.10%,,None,None,None,
2024.03.25  15.30.49,Current data values,538,336 cpm,,0:01:36,8.94 µR/h,32.40%,,None,None,None,
2024.03.25  15.29.13,Current data values,523,327 cpm,,0:01:36,8.51 µR/h,30.80%,,None,None,None,
Ricks 2,,,,,,,,,,,,
2024.03.27  17.42.35,Current data values,544,340 cpm,,0:01:36,8.86 µR/h,26.60%,,None,None,None,
2024.03.27  17.39.23,Current data values,516,322 cpm,,0:01:36,10.5 µR/h,27.20%,,None,None,None,
2024.03.27  17.37.47,Current data values,480,300 cpm,,0:01:36,8.11 µR/h,29.40%,,None,None,None,
2024.03.27  17.36.11,Current data values,510,319 cpm,,0:01:36,9.68 µR/h,28.80%,,None,None,None,
2024.03.27  17.32.59,Current data values,494,309 cpm,,0:01:36,11.9 µR/h,27.50%,,None,None,None,
2024.03.27  17.31.23,Current data values,488,305 cpm,,0:01:36,10.5 µR/h,28.40%,,None,None,None,
2024.03.27  17.28.11,Current data values,504,315 cpm,,0:01:36,9.25 µR/h,26.20%,,None,None,None,
2024.03.27  17.26.35,Current data values,491,307 cpm,,0:01:36,10.1 µR/h,29.20%,,None,None,None,
2024.03.27  17.23.23,Current data values,511,319 cpm,,0:01:36,8.22 µR/h,27.20%,,None,None,None,
2024.03.27  17.20.11,Current data values,458,286 cpm,,0:01:36,10.5 µR/h,28.20%,,None,None,None,
2024.03.27  17.16.59,Current data values,487,304 cpm,,0:01:36,9.7 µR/h,29.70%,,None,None,None,
Ricks 1,,,,,,,,,,,,
2024.03.27  17.08.58,Current data values,641,401 cpm,,0:01:36,13.2 µR/h,24.30%,,None,None,None,
2024.03.27  17.07.22,Current data values,639,399 cpm,,0:01:36,13 µR/h,25.30%,,None,None,None,
2024.03.27  17.05.46,Current data values,646,404 cpm,,0:01:36,11.8 µR/h,25.20%,,None,None,None,
2024.03.27  17.04.10,Current data values,568,355 cpm,,0:01:36,10.9 µR/h,24.90%,,None,None,None,
2024.03.27  17.00.57,Current data values,627,392 cpm,,0:01:36,13.4 µR/h,23.40%,,None,None,None,
2024.03.27  16.59.21,Current data values,618,386 cpm,,0:01:36,9.35 µR/h,25.60%,,None,None,None,
2024.03.27  16.57.45,Current data values,627,392 cpm,,0:01:36,9.34 µR/h,24.80%,,None,None,None,
2024.03.27  16.51.20,Current data values,597,373 cpm,,0:01:36,8.93 µR/h,27.60%,,None,None,None,
2024.03.27  16.49.44,Current data values,584,365 cpm,,0:01:36,11.2 µR/h,23.50%,,None,None,None,
2024.03.27  16.46.32,Current data values,602,376 cpm,,0:01:36,11.8 µR/h,25.60%,,None,None,None,
2024.03.27  16.44.56,Current data values,535,334 cpm,,0:01:36,10.3 µR/h,25.20%,,None,None,None,
