Real time,Event,Pulses,Count rate,Duration of d.a.,Duration of meas.,Dose rate,DR Error,Dose,Dose rate alarm,Dose alarm,Temp alarm,Temp.,Charge,Comment
2024.04.02  17.27.19,Current device parameters,,,9 d., 7:36:31,,,,2.05 mR,None,None,None,23°C,100%
2024.04.02  17.27.01,Current data values,945,591 cpm,,0:01:36,11.6 µR/h,22.30%,,None,None,None,,,
2024.04.02  17.25.25,Current data values,948,592 cpm,,0:01:36,12.1 µR/h,22.60%,,None,None,None,,,
2024.04.02  17.25.19,Current device parameters,,,9 d., 7:34:31,,,,2.05 mR,None,None,None,23.2°C,100%
2024.04.02  17.23.49,Current data values,915,572 cpm,,0:01:36,13.5 µR/h,22.80%,,None,None,None,,,
2024.04.02  17.23.19,Current device parameters,,,9 d., 7:32:31,,,,2.05 mR,None,None,None,23.4°C,100%
2024.04.02  17.22.13,Current data values,975,609 cpm,,0:01:36,11.4 µR/h,21.90%,,None,None,None,,,
2024.04.02  17.21.19,Current device parameters,,,9 d., 7:30:31,,,,2.05 mR,None,None,None,23.5°C,100%
2024.04.02  17.20.37,Current data values,980,612 cpm,,0:01:36,10.4 µR/h,23.60%,,None,None,None,,,
2024.04.02  17.19.01,Current data values,998,624 cpm,,0:01:36,13.4 µR/h,21.70%,,None,None,None,,,
2024.04.02  17.17.25,Current data values,955,597 cpm,,0:01:36,13 µR/h,23.30%,,None,None,None,,,
2024.04.02  17.16.19,Current device parameters,,,9 d., 7:25:31,,,,2.05 mR,None,None,None,23.6°C,100%
2024.04.02  17.15.49,Current data values,975,609 cpm,,0:01:36,14.3 µR/h,23.30%,,None,None,None,,,
2024.04.02  17.14.13,Current data values,943,589 cpm,,0:01:36,11.6 µR/h,22.10%,,None,None,None,,,
2024.04.02  17.13.19,Current device parameters,,,9 d., 7:22:31,,,,2.05 mR,None,None,None,23.5°C,100%
2024.04.02  17.12.29,Current data values,1119,599 cpm,,0:01:52,15.8 µR/h,20.30%,,None,None,None,,,
2024.04.02  17.11.37,Current data values,1164,624 cpm,,01:51.0,16.7 µR/h,20.30%,,None,None,None,,,
2024.04.02  17.11.29,Current data values,466,437 cpm,,0:01:04,8.94 µR/h,35.70%,,None,None,None,,,
